wid,ecoregion,start_year,end_year,tp_mean,tp_count,tp_tsi,eco_tp_min,eco_tp_max,chl_mean,chl_count,chl_tsc,eco_chl_min,eco_chl_max,transp_mean,transp_count,transp_tsi,eco_transp_min,eco_transp_max,overall_tsi
29-0117-02,NLF,2004,2013,,,,42,52,,,,44,53,5.6,52,35.17,38,47,35.17
29-0130-00,NLF,2004,2013,10,4,37.35,42,52,2.31,4,38.8,44,53,5.28,4,36.04,38,47,37.4
29-0131-00,NLF,2004,2013,11.5,4,39.37,42,52,3.33,4,42.39,44,53,4.8,4,37.4,38,47,39.72
29-0132-00,NLF,2004,2013,12.25,4,40.28,42,52,9.75,4,52.94,44,53,2.55,4,46.51,38,47,46.58
29-0142-00,NCHF,2004,2013,19.55,42,47.02,49,61,7.96,42,50.96,46,61,2.49,147,46.86,43,54,48.28
29-0143-00,NCHF,2004,2013,14.13,16,42.33,49,61,5.06,16,46.51,46,61,2.96,44,44.38,43,54,44.41
29-0144-00,NCHF,2004,2013,10,1,37.35,49,61,3.27,1,42.22,46,61,1.1,1,58.63,43,54,46.07
34-0193-00,NCHF,2004,2013,27.06,16,51.71,49,61,5.75,16,47.76,46,61,3.05,29,43.93,43,54,47.8
34-0194-00,WCBP,2004,2013,57,1,62.45,64,76,,,,64,74,,,,60,70,62.45
34-0196-00,WCBP,2004,2013,102.35,17,70.89,64,76,25.75,16,62.47,64,74,0.65,69,66.29,60,70,66.55
34-0204-00,NCHF,2004,2013,54.67,6,61.85,49,61,9.81,5,53,46,61,0.53,6,69.06,43,54,61.3
34-0206-00,NCHF,2004,2013,21.33,9,48.28,49,61,5.58,9,47.47,46,61,2.69,117,45.72,43,54,47.16
34-0208-00,NCHF,2004,2013,61.88,8,63.63,49,61,37.86,7,66.25,46,61,0.5,8,70.13,43,54,66.67
34-0217-00,NCHF,2004,2013,20.17,24,47.47,49,61,6.09,23,48.32,46,61,2.51,52,46.76,43,54,47.52
34-0192-00,NCHF,2004,2013,125.59,17,73.84,49,61,12.63,16,55.48,46,61,1.89,156,50.8,43,54,60.04
34-0223-00,NCHF,2004,2013,24,1,49.98,49,61,,,,46,61,2.29,1,48.06,43,54,49.02
34-0224-00,NCHF,2004,2013,27.26,23,51.81,49,61,9.76,23,52.95,46,61,2.33,78,47.82,43,54,50.86
34-0236-00,NCHF,2004,2013,31,1,53.67,49,61,,,,46,61,1.5,1,54.16,43,54,53.91
34-0245-00,WCBP,2004,2013,117.73,11,72.91,64,76,44.95,10,67.93,64,74,0.5,30,69.99,60,70,70.28
34-0246-00,WCBP,2004,2013,81.13,8,67.54,64,76,35.14,8,65.52,64,74,0.53,43,69.14,60,70,67.4
34-0249-00,NCHF,2004,2013,,,,49,61,,,,46,61,0.38,57,73.88,43,54,73.88
34-0251-00,NCHF,2004,2013,60.66,25,63.35,49,61,26.63,25,62.8,46,61,0.97,361,60.47,43,54,62.21
34-0266-00,WCBP,2004,2013,121.17,12,73.33,64,76,54,11,69.73,64,74,0.44,5,71.83,60,70,71.63
34-0283-00,WCBP,2004,2013,151.8,10,76.58,64,76,59.71,10,70.72,64,74,0.65,32,66.26,60,70,71.19
34-0285-00,WCBP,2004,2013,181,1,79.11,64,76,,,,64,74,0.61,1,67.12,60,70,73.12
34-0292-00,WCBP,2004,2013,376,1,89.65,64,76,,,,64,74,0.32,5,76.51,60,70,83.08
82-0065-00,NCHF,2004,2013,68.21,38,65.04,49,61,33.78,37,65.13,46,61,1.61,38,53.15,43,54,61.11
11-0037-00,NLF,2004,2013,18.65,20,46.34,42,52,3.05,20,41.55,44,53,2.65,122,45.96,38,47,44.62
82-0067-00,NCHF,2004,2013,45,38,59.04,49,61,22.76,36,61.25,46,61,1.95,38,50.35,43,54,56.88
82-0068-00,NCHF,2004,2013,76.78,32,66.75,49,61,36.96,32,66.01,46,61,1.22,32,57.11,43,54,63.29
82-0072-00,NCHF,2004,2013,93.08,50,69.52,49,61,34.12,51,65.23,46,61,0.78,49,63.59,43,54,66.11
82-0074-00,NCHF,2004,2013,54.17,15,61.72,49,61,21.24,15,60.58,46,61,1.38,15,55.39,43,54,59.23
82-0076-00,NCHF,2004,2013,121.2,5,73.33,49,61,71.8,5,72.53,46,61,1.03,26,59.53,43,54,68.46
82-0077-00,NCHF,2004,2013,110.06,72,71.94,49,61,48.02,72,68.58,46,61,0.87,72,61.97,43,54,67.5
82-0080-00,NCHF,2004,2013,20.48,50,47.69,49,61,2.45,50,39.39,46,61,4.62,136,37.96,43,54,41.68
82-0087-00,WCBP,2004,2013,67.56,43,64.9,64,76,26.9,43,62.9,64,74,1.68,43,52.56,60,70,60.12
82-0089-00,NCHF,2004,2013,170.14,69,78.22,49,61,70.67,69,72.37,46,61,0.39,70,73.53,43,54,74.71
11-0006-00,NLF,2004,2013,12.38,8,40.43,42,52,5.38,8,47.1,44,53,3.67,8,41.27,38,47,42.93
11-0009-01,NLF,2004,2013,10.96,14,38.68,42,52,3.14,14,41.83,44,53,4.29,83,39.02,38,47,39.84
11-0009-02,NLF,2004,2013,15.07,15,43.26,42,52,2.93,15,41.16,44,53,4.62,15,37.96,38,47,40.79
11-0022-00,NLF,2004,2013,,,,42,52,,,,44,53,5,1,36.81,38,47,36.81
11-0026-00,NLF,2004,2013,32.2,5,54.22,42,52,4.57,5,45.51,44,53,4.64,5,37.88,38,47,45.87
11-0029-00,NLF,2004,2013,31.4,15,53.85,42,52,11.09,15,54.21,44,53,1.87,78,50.99,38,47,53.02
